################################################################
# K2GAP DR1                             
# Stello et al. 2017, ApJ, 835, 83
# Frequency            Power density                                                   
# MicroHertz           Parts per million squared per microHertz
################################################################
1.9022168E+01          1.2545327E+03
1.9051077E+01          1.3930067E+03
1.9079986E+01          1.1312601E+03
1.9108895E+01          5.9288910E+02
1.9137804E+01          1.1636080E+02
1.9166713E+01          6.2310661E+01
1.9195622E+01          5.4052999E+02
1.9224532E+01          1.2581387E+03
1.9253441E+01          1.6959376E+03
1.9282350E+01          1.5160114E+03
1.9311259E+01          8.5293284E+02
1.9340168E+01          2.0644833E+02
1.9369077E+01          6.2575000E+00
1.9397986E+01          2.6289555E+02
1.9426895E+01          6.2175992E+02
1.9455804E+01          7.2940157E+02
1.9484713E+01          5.3489780E+02
1.9513622E+01          2.4817150E+02
1.9542531E+01          6.9626744E+01
1.9571440E+01          2.0498565E+01
1.9600349E+01          3.3566137E+01
1.9629259E+01          1.4812361E+02
1.9658168E+01          5.3292445E+02
1.9687077E+01          1.2679661E+03
1.9715986E+01          2.1212243E+03
1.9744895E+01          2.6162839E+03
1.9773804E+01          2.3872264E+03
1.9802713E+01          1.5149848E+03
1.9831622E+01          5.3733303E+02
1.9860531E+01          5.2565487E+01
1.9889440E+01          2.2697233E+02
1.9918349E+01          6.8623691E+02
1.9947258E+01          9.0000385E+02
1.9976167E+01          6.8759880E+02
2.0005076E+01          3.6129477E+02
2.0033986E+01          3.7741803E+02
2.0062895E+01          8.5476630E+02
2.0091804E+01          1.4496817E+03
2.0120713E+01          1.7178232E+03
2.0149622E+01          1.5507207E+03
2.0178531E+01          1.2098613E+03
2.0207440E+01          9.9123167E+02
2.0236349E+01          9.2817460E+02
2.0265258E+01          8.3406524E+02
2.0294167E+01          5.9048221E+02
2.0323076E+01          3.0492616E+02
2.0351985E+01          1.6598794E+02
2.0380894E+01          2.5074324E+02
2.0409803E+01          5.6073379E+02
2.0438712E+01          1.1485577E+03
2.0467622E+01          2.0265543E+03
2.0496531E+01          2.9078737E+03
2.0525440E+01          3.1925379E+03
2.0554349E+01          2.4543159E+03
2.0583258E+01          1.0477535E+03
2.0612167E+01          5.9565958E+01
2.0641076E+01          3.7846948E+02
2.0669985E+01          1.7464382E+03
2.0698894E+01          2.8978088E+03
2.0727803E+01          2.7565296E+03
2.0756712E+01          1.4896481E+03
2.0785621E+01          2.9668284E+02
2.0814530E+01          1.1920333E+02
2.0843439E+01          7.2439742E+02
2.0872349E+01          1.1638712E+03
2.0901258E+01          9.7736203E+02
2.0930167E+01          7.2634731E+02
2.0959076E+01          1.2164076E+03
2.0987985E+01          2.3727252E+03
2.1016894E+01          3.1990809E+03
2.1045803E+01          2.8659131E+03
2.1074712E+01          1.6522364E+03
2.1103621E+01          6.3143353E+02
2.1132530E+01          4.6230743E+02
2.1161439E+01          7.6134221E+02
2.1190348E+01          7.4432819E+02
2.1219257E+01          2.7611099E+02
2.1248166E+01          1.9308681E+01
2.1277076E+01          4.9570120E+02
2.1305985E+01          1.2994559E+03
2.1334894E+01          1.5069377E+03
2.1363803E+01          8.3521069E+02
2.1392712E+01          1.3817782E+02
2.1421621E+01          5.2905059E+02
2.1450530E+01          2.1040640E+03
2.1479439E+01          3.7133553E+03
2.1508348E+01          4.0554642E+03
2.1537257E+01          2.9646643E+03
2.1566166E+01          1.4562073E+03
2.1595075E+01          5.7124176E+02
2.1623984E+01          4.4745589E+02
2.1652893E+01          4.9772262E+02
2.1681802E+01          2.8535835E+02
2.1710712E+01          3.1064683E+01
2.1739621E+01          1.9294979E+02
2.1768530E+01          7.6519336E+02
2.1797439E+01          1.2149594E+03
2.1826348E+01          1.0852718E+03
